Time,Country,Crop,Yield (Tons per Hectare),Production
8/1/2002,USA,Wheat,2.38,45.89
9/1/2002,USA,Wheat,2.38,45.89
10/1/2002,USA,Wheat,2.37,44.22
11/1/2002,USA,Wheat,2.373,43.99
12/1/2002,USA,Wheat,2.37,43.99
1/1/2003,USA,Wheat,2.37,43.99
2/1/2003,USA,Wheat,2.37,43.99
3/1/2003,USA,Wheat,2.37,43.99
4/1/2003,USA,Wheat,2.37,43.99
5/1/2003,USA,Wheat,2.7,57.52
6/1/2003,USA,Wheat,2.78,59.23
7/1/2003,USA,Wheat,2.95,62.89
8/1/2003,USA,Wheat,2.93,62.37
9/1/2003,USA,Wheat,2.93,62.37
10/1/2003,USA,Wheat,2.97,63.59
11/1/2003,USA,Wheat,2.98,63.59
12/1/2003,USA,Wheat,2.96,63.59
1/1/2004,USA,Wheat,2.95,63.59
2/1/2004,USA,Wheat,2.97,63.59
3/1/2004,USA,Wheat,2.97,63.59
4/1/2004,USA,Wheat,2.97,63.59
5/1/2004,USA,Wheat,2.78,56.62
6/1/2004,USA,Wheat,2.75,56.08
7/1/2004,USA,Wheat,2.73,56.04
8/1/2004,USA,Wheat,2.82,57.78
9/1/2004,USA,Wheat,2.82,57.78
10/1/2004,USA,Wheat,2.9,58.88
11/1/2004,USA,Wheat,2.92,58.74
12/1/2004,USA,Wheat,2.9,58.74
1/1/2005,USA,Wheat,2.89,58.74
2/1/2005,USA,Wheat,2.9,58.74
3/1/2005,USA,Wheat,2.92,58.74
4/1/2005,USA,Wheat,2.9,58.74
5/1/2005,USA,Wheat,2.87,59.46
6/1/2005,USA,Wheat,2.81,58.24
7/1/2005,USA,Wheat,2.95,60.1
8/1/2005,USA,Wheat,2.89,58.98
9/1/2005,USA,Wheat,2.89,58.98
10/1/2005,USA,Wheat,2.82,57.11
11/1/2005,USA,Wheat,2.82,57.11
12/1/2005,USA,Wheat,2.82,57.11
1/1/2006,USA,Wheat,2.82,57.28
2/1/2006,USA,Wheat,2.82,57.28
3/1/2006,USA,Wheat,2.82,57.28
4/1/2006,USA,Wheat,2.82,57.28
5/1/2006,USA,Wheat,2.73,50.97
6/1/2006,USA,Wheat,,
7/1/2006,USA,Wheat,,
8/1/2006,USA,Wheat,,
9/1/2006,USA,Wheat,2.57,49.03
10/1/2006,USA,Wheat,2.6,49.32
11/1/2006,USA,Wheat,2.6,49.32
12/1/2006,USA,Wheat,2.63,49.32
1/1/2007,USA,Wheat,2.61,49.32
2/1/2007,USA,Wheat,2.58,49.32
3/1/2007,USA,Wheat,2.6,49.32
4/1/2007,USA,Wheat,2.6,49.32
5/1/2007,USA,Wheat,2.8,59.16
6/1/2007,USA,Wheat,2.79,59
7/1/2007,USA,Wheat,2.74,58.19
8/1/2007,USA,Wheat,2.73,57.73
9/1/2007,USA,Wheat,2.73,57.73
10/1/2007,USA,Wheat,2.72,56.25
11/1/2007,USA,Wheat,2.71,56.2
12/1/2007,USA,Wheat,2.74,57
1/1/2008,USA,Wheat,2.72,56.25
2/1/2008,USA,Wheat,2.72,56.25
3/1/2008,USA,Wheat,2.69,55.4
4/1/2008,USA,Wheat,2.73,57.66
5/1/2008,USA,Wheat,2.86,65.1
6/1/2008,USA,Wheat,2.91,66.18
7/1/2008,USA,Wheat,2.92,66.97
8/1/2008,USA,Wheat,2.93,67.02
9/1/2008,USA,Wheat,2.92,66.96
10/1/2008,USA,Wheat,3.02,68.03
11/1/2008,USA,Wheat,3.02,68.03
12/1/2008,USA,Wheat,3.02,68.03
1/1/2009,USA,Wheat,3,67.33
2/1/2009,USA,Wheat,2.98,67.1
3/1/2009,USA,Wheat,3.02,68.06
4/1/2009,USA,Wheat,3.02,68.06
5/1/2009,USA,Wheat,2.79,55.14
6/1/2009,USA,Wheat,2.77,54.86
7/1/2009,USA,Wheat,2.82,57.49
8/1/2009,USA,Wheat,2.91,59.43
9/1/2009,USA,Wheat,2.91,59.43
10/1/2009,USA,Wheat,2.98,60.42
11/1/2009,USA,Wheat,2.99,60.31
12/1/2009,USA,Wheat,2.98,60.1
1/1/2010,USA,Wheat,2.97,59.89
2/1/2010,USA,Wheat,2.98,60.1
3/1/2010,USA,Wheat,2.99,60.31
4/1/2010,USA,Wheat,2.99,60.31
5/1/2010,USA,Wheat,2.92,55.61
6/1/2010,USA,Wheat,2.95,56.26
7/1/2010,USA,Wheat,3.09,60.3
8/1/2010,USA,Wheat,3.16,61.64
9/1/2010,USA,Wheat,3.18,62.02
10/1/2010,USA,Wheat,3.14,60.51
11/1/2010,USA,Wheat,3.12,60.1
12/1/2010,USA,Wheat,3.11,59.97
1/1/2011,USA,Wheat,3.1,59.69
2/1/2011,USA,Wheat,3.1,59.69
3/1/2011,USA,Wheat,3.12,60.1
4/1/2011,USA,Wheat,3.13,60.35
5/1/2011,USA,Wheat,2.86,55.61
6/1/2011,USA,Wheat,2.9,56.01
7/1/2011,USA,Wheat,3,57.32
8/1/2011,USA,Wheat,3.04,56.51
9/1/2011,USA,Wheat,3.02,56.13
10/1/2011,USA,Wheat,2.95,54.65
11/1/2011,USA,Wheat,2.94,54.41
12/1/2011,USA,Wheat,2.93,54.19
1/1/2012,USA,Wheat,2.94,54.4
2/1/2012,USA,Wheat,2.9,53.78
3/1/2012,USA,Wheat,2.93,54.23
4/1/2012,USA,Wheat,2.94,54.41
5/1/2012,USA,Wheat,3.07,61.11
6/1/2012,USA,Wheat,3.06,60.8
7/1/2012,USA,Wheat,3.06,60.53
8/1/2012,USA,Wheat,3.12,61.73
9/1/2012,USA,Wheat,3.13,61.95
10/1/2012,USA,Wheat,3.11,61.76
11/1/2012,USA,Wheat,3.11,61.76
12/1/2012,USA,Wheat,3.12,61.89
1/1/2013,USA,Wheat,3.1,61.58
2/1/2013,USA,Wheat,3.12,61.79
3/1/2013,USA,Wheat,3.13,62.01
4/1/2013,USA,Wheat,3.11,61.78
5/1/2013,USA,Wheat,2.96,55.98
6/1/2013,USA,Wheat,3,56.61
7/1/2013,USA,Wheat,3.11,57.52
8/1/2013,USA,Wheat,3.11,57.54
9/1/2013,USA,Wheat,3.14,58.21
10/1/2013,USA,Wheat,,
11/1/2013,USA,Wheat,3.17,57.96
12/1/2013,USA,Wheat,,
1/1/2014,USA,Wheat,3.1,56.13
2/1/2014,USA,Wheat,3.02,54.88
3/1/2014,USA,Wheat,,
4/1/2014,USA,Wheat,,
5/1/2014,USA,Wheat,2.87,53.43
6/1/2014,USA,Wheat,2.84,52.85
7/1/2014,USA,Wheat,2.9,54.21
8/1/2014,USA,Wheat,2.95,55.24
9/1/2014,USA,Wheat,2.96,55.39
10/1/2014,USA,Wheat,2.95,55.39
11/1/2014,USA,Wheat,2.94,55.13
12/1/2014,USA,Wheat,,
1/1/2015,USA,Wheat,2.94,55.13
2/1/2015,USA,Wheat,2.95,55.3
3/1/2015,USA,Wheat,,
4/1/2015,USA,Wheat,,
5/1/2015,USA,Wheat,2.92,56.81
6/1/2015,USA,Wheat,2.97,57.72
7/1/2015,USA,Wheat,2.98,58.46
8/1/2015,USA,Wheat,2.96,58.13
9/1/2015,USA,Wheat,2.94,57.86
10/1/2015,USA,Wheat,2.93,55.84
11/1/2015,USA,Wheat,2.93,55.84
12/1/2015,USA,Wheat,,
1/1/2016,USA,Wheat,3.03,55.46
2/1/2016,USA,Wheat,3.05,55.1
3/1/2016,USA,Wheat,,
4/1/2016,USA,Wheat,,
5/1/2016,USA,Wheat,3.14,54.37
6/1/2016,USA,Wheat,3.27,56.53
7/1/2016,USA,Wheat,3.45,61.53
8/1/2016,USA,Wheat,3.54,63.16
9/1/2016,USA,Wheat,3.57,63.66
10/1/2016,USA,Wheat,3.54,62.86
11/1/2016,USA,Wheat,3.52,62.5
12/1/2016,USA,Wheat,,
1/1/2017,USA,Wheat,3.4,54.33
2/1/2017,USA,Wheat,3.37,53.78
3/1/2017,USA,Wheat,,
4/1/2017,USA,Wheat,,
5/1/2017,USA,Wheat,3.18,49.54
6/1/2017,USA,Wheat,3.18,49.64
7/1/2017,USA,Wheat,3.1,47.89
8/1/2017,USA,Wheat,3.07,47.33
9/1/2017,USA,Wheat,3.05,47.01
10/1/2017,USA,Wheat,3.11,47.37
11/1/2017,USA,Wheat,3.12,47.5
12/1/2017,USA,Wheat,,
1/1/2018,USA,Wheat,3.13,47.78
2/1/2018,USA,Wheat,3.14,48.56
3/1/2018,USA,Wheat,,
4/1/2018,USA,Wheat,,
5/1/2018,USA,Wheat,3.15,49.57
6/1/2018,USA,Wheat,3.16,49.74
7/1/2018,USA,Wheat,3.2,51.21
8/1/2018,USA,Wheat,3.19,51.08
9/1/2018,USA,Wheat,3.17,50.86
10/1/2018,USA,Wheat,3.2,51.29
11/1/2018,USA,Wheat,,
12/1/2018,USA,Wheat,3.22,51.31
1/1/2019,USA,Wheat,3.24,51.38
2/1/2019,USA,Wheat,3.25,51.46
3/1/2019,USA,Wheat,,
4/1/2019,USA,Wheat,,
5/1/2019,USA,Wheat,3.27,51.62
6/1/2019,USA,Wheat,3.28,51.78
7/1/2019,USA,Wheat,3.36,52.28
8/1/2019,USA,Wheat,3.47,53.89
9/1/2019,USA,Wheat,3.48,54.05
10/1/2019,USA,Wheat,3.47,53.39
11/1/2019,USA,Wheat,3.47,52.26
12/1/2019,USA,Wheat,,
1/1/2020,USA,Wheat,3.4,51.56
2/1/2020,USA,Wheat,3.39,51.48
3/1/2020,USA,Wheat,,
4/1/2020,USA,Wheat,,
5/1/2020,USA,Wheat,3.33,50.78
6/1/2020,USA,Wheat,3.35,51.09
7/1/2020,USA,Wheat,3.34,49.63
8/1/2020,USA,Wheat,3.37,50.01
9/1/2020,USA,Wheat,3.38,50.15
10/1/2020,USA,Wheat,3.34,49.69
11/1/2020,USA,Wheat,3.34,49.69
12/1/2020,USA,Wheat,,
1/1/2021,USA,Wheat,3.34,49.7
2/1/2021,USA,Wheat,3.35,49.93
3/1/2021,USA,Wheat,,
4/1/2021,USA,Wheat,,
5/1/2021,USA,Wheat,3.36,50.95
6/1/2021,USA,Wheat,3.41,51.66
7/1/2021,USA,Wheat,3.08,47.52
8/1/2021,USA,Wheat,2.99,46.18
9/1/2021,USA,Wheat,2.99,46.18
10/1/2021,USA,Wheat,2.98,44.79
11/1/2021,USA,Wheat,3,44.99
12/1/2021,USA,Wheat,,
1/1/2022,USA,Wheat,3.04,45.56
2/1/2022,USA,Wheat,3.07,46
3/1/2022,USA,Wheat,,
4/1/2022,USA,Wheat,,
5/1/2022,USA,Wheat,3.14,47.05
6/1/2022,USA,Wheat,3.15,47.26
7/1/2022,USA,Wheat,3.18,48.47
8/1/2022,USA,Wheat,3.2,48.52
9/1/2022,USA,Wheat,3.17,46.35
10/1/2022,USA,Wheat,3.13,44.9
11/1/2022,USA,Wheat,3.13,44.9
12/1/2022,USA,Wheat,3.13,44.9
